degree distribution (probability density function of the degree in logarithmic bins) 
2	0.503746
3	0.184668
4.47312	0.133241
6.58065	0.03239
8.37037	0.0205734
11.2308	0.0144481
15.8571	0.00851037
21.2222	0.0026599
31.8333	0.0012932
41.6	0.000785921
47	0.000114631

degree distribution (degree-occurrences) 
2	0.374
3	0.188
4	0.098
5	0.088
6	0.026
7	0.036
8	0.034
9	0.02
10	0.016
11	0.016
12	0.012
13	0.008
14	0.012
15	0.006
16	0.008
17	0.008
18	0.008
19	0.004
20	0.004
21	0.002
22	0.002
23	0.004
24	0.002
29	0.004
32	0.002
33	0.002
34	0.004
39	0.002
40	0.002
41	0.002
43	0.002
45	0.002
47	0.002


--------------------------------------
community distribution (size-occurrences)
100	1


--------------------------------------
mixing parameter
0	0.18
0.166667	0.006
0.202381	0.056
0.25	0.092
0.283648	0.08
0.327712	0.282
0.370292	0.02
0.4	0.038
0.428571	0.004
0.5	0.24
0.75	0.002

--------------------------------------
